timestamp,tagID,pos_x,pos_y,pos_z,quality,n_dist,anchorID_1,dist_1,anchorID_2,dist_2,anchorID_3,dist_3,anchorID_4,dist_4,anchorID_5,dist_5,accelerometro,ax,ay,az,giroscopio,gx,gy,gz,magnetometro,mx,my,mz
21:24.4,bleT2,-,-,-,0,5,bleA5,-66,bleA2,-55,bleA3,-54,bleA4,-67,bleA6,-78,A,96.258,-981.917,30.317,G,-770,-6020,1190,M,-703.5,67.5,-261
21:24.5,bleT2,-,-,-,0,4,bleA2,-73,bleA4,-69,bleA5,-64,bleA6,-69,A,45.079,-1009.855,39.711,G,-3010,-1120,630,M,-699,55.5,-255,,
21:24.6,bleT2,-,-,-,0,5,bleA2,-55,bleA4,-67,bleA3,-55,bleA6,-77,bleA5,-65,A,65.636,-1001.193,54.29,G,-2030,3360,-910,M,-700.5,58.5,-244.5
21:24.7,bleT2,-,-,-,0,4,bleA2,-72,bleA4,-66,bleA5,-62,bleA6,-66,A,38.979,-985.943,70.394,G,490,980,3080,M,-699,54,-249,,
21:24.8,bleT2,-,-,-,0,5,bleA2,-57,bleA4,-70,bleA3,-57,bleA6,-74,bleA5,-65,A,43.249,-987.895,97.6,G,-8260,1750,-280,M,-706.5,58.5,-250.5
21:24.9,bleT2,-,-,-,0,5,bleA6,-66,bleA2,-72,bleA4,-67,bleA3,-76,bleA5,-62,A,88.572,-1005.524,118.645,G,4550,7910,980,M,-706.5,66,-244.5
21:25.0,bleT2,-,-,-,0,4,bleA2,-56,bleA3,-57,bleA5,-65,bleA6,-74,A,29.89,-1029.375,60.939,G,4550,2100,-6020,M,-694.5,58.5,-229.5,,
21:25.1,bleT2,-,-,-,0,4,bleA6,-66,bleA5,-61,bleA2,-70,bleA4,-67,A,32.757,-983.442,77.958,G,560,-2100,-210,M,-703.5,55.5,-241.5,,
21:25.2,bleT2,-,-,-,0,2,bleA4,-71,bleA6,-73,A,40.504,-960.933,114.924,G,-140,-2870,4130,M,-696,60,-247.5,,,,,,
21:25.3,bleT2,-,-,-,0,4,bleA2,-67,bleA4,-66,bleA5,-61,bleA6,-65,A,19.825,-999.18,54.656,G,-2800,-3080,4340,M,-700.5,51,-235.5,,
21:25.4,bleT2,-,-,-,0,5,bleA2,-57,bleA4,-72,bleA3,-57,bleA5,-65,bleA6,-72,A,98.454,-995.764,92.537,G,-2940,-560,980,M,-712.5,57,-246
21:25.5,bleT2,-,-,-,0,1,bleA2,-65,A,44.225,-997.228,109.19,G,1820,-7560,140,M,-703.5,52.5,-256.5,,,,,,,,
21:25.5,bleT2,-,-,-,0,2,bleA6,-65,bleA4,-65,A,105.774,-982.649,10.065,G,3080,-3920,-2730,M,-712.5,51,-237,,,,,,
21:25.6,bleT2,-,-,-,0,5,bleA5,-65,bleA4,-70,bleA2,-56,bleA3,-60,bleA6,-72,A,39.528,-945.317,205.875,G,7210,-4760,-420,M,-699,55.5,-261
21:25.7,bleT2,-,-,-,0,4,bleA2,-66,bleA4,-65,bleA5,-65,bleA6,-65,A,17.263,-1006.195,84.485,G,-11130,-2870,560,M,-693,54,-252,,
21:25.8,bleT2,-,-,-,0,3,bleA6,-70,bleA4,-67,bleA3,-69,A,98.454,-968.741,118.889,G,-420,7140,-6790,M,-702,43.5,-249,,,,
21:25.9,bleT2,-,-,-,0,4,bleA6,-65,bleA2,-58,bleA4,-65,bleA3,-65,A,81.557,-969.595,228.384,G,-13650,19110,9940,M,-697.5,43.5,-250.5,,
21:26.0,bleT2,-,-,-,0,2,bleA2,-60,bleA3,-59,A,41.602,-955.321,222.711,G,-10220,4830,-840,M,-697.5,46.5,-238.5,,,,,,
21:26.1,bleT2,-,-,-,0,4,bleA2,-72,bleA4,-73,bleA5,-60,bleA6,-76,A,57.889,-989.786,171.288,G,8190,4410,8960,M,-699,31.5,-225,,
