timestamp,tagID,pos_x,pos_y,pos_z,quality,n_dist,anchorID_1,dist_1,anchorID_2,dist_2,anchorID_3,dist_3,anchorID_4,dist_4,anchorID_5,dist_5,accelerometro,ax,ay,az,giroscopio,gx,gy,gz,magnetometro,mx,my,mz
25:29.5,bleT2,-,-,-,0,5,bleA5,-62,bleA3,-68,bleA2,-54,bleA4,-72,bleA6,-73,A,876.936,-145.363,-327.204,G,6300,-6230,-9170,M,-249,487.5,156,
25:29.6,bleT2,-,-,-,0,3,bleA3,-60,bleA4,-66,bleA6,-71,,,,,A,913.902,-110.593,-333.365,G,1470,140,5250,M,-246,493.5,148.5,
25:29.6,bleT2,-,-,-,0,2,bleA2,-54,bleA5,-71,,,,,,,A,894.382,-169.58,-332.572,G,-5670,-2030,7070,M,-253.5,504,144,
25:29.7,bleT2,-,-,-,0,3,bleA4,-69,bleA6,-73,bleA3,-58,,,,,A,896.883,-165.798,-336.537,G,-4270,-3570,7490,M,-252,495,156,
25:29.7,bleT2,-,-,-,0,1,bleA5,-60,,,,,,,,,A,894.382,-169.58,-332.572,G,-5670,-2030,7070,M,-253.5,504,144,
25:29.8,bleT2,-,-,-,0,5,bleA6,-71,bleA3,-62,bleA2,-58,bleA4,-65,bleA5,-69,A,892.857,-159.21,-333.609,G,-3430,840,4830,M,-267,493.5,144,
25:29.9,bleT2,-,-,-,0,5,bleA5,-59,bleA3,-71,bleA2,-55,bleA4,-67,bleA6,-75,A,887.306,-155.306,-312.259,G,-2800,1680,1190,M,-268.5,492,148.5,
25:30.1,bleT2,-,-,-,0,5,bleA3,-61,bleA2,-58,bleA4,-65,bleA5,-67,bleA6,-71,A,892.491,-159.393,-310.368,G,-1050,1680,-1750,M,-259.5,496.5,153,
25:30.2,bleT2,-,-,-,0,5,bleA5,-60,bleA2,-54,bleA3,-72,bleA4,-67,bleA6,-76,A,905.972,-151.951,-315.187,G,1050,1260,-3080,M,-256.5,487.5,142.5,
25:30.3,bleT2,-,-,-,0,5,bleA4,-68,bleA6,-71,bleA3,-59,bleA2,-58,bleA5,-65,A,905.24,-146.217,-300.73,G,1260,1820,-1120,M,-270,487.5,147,
25:30.4,bleT2,-,-,-,0,4,bleA3,-71,bleA2,-54,bleA4,-68,bleA5,-60,,,A,899.445,-144.082,-283.04,G,140,-980,-2730,M,-262.5,496.5,139.5,
25:30.5,bleT2,-,-,-,0,5,bleA3,-58,bleA4,-68,bleA5,-65,bleA6,-72,bleA2,-58,A,921.466,-135.481,-300.974,G,70,-1610,-3500,M,-259.5,486,145.5,
25:30.6,bleT2,-,-,-,0,5,bleA2,-54,bleA5,-61,bleA3,-71,bleA6,-77,bleA4,-68,A,914.512,-135.298,-312.442,G,280,420,-1190,M,-259.5,501,138,
25:30.7,bleT2,-,-,-,0,4,bleA3,-58,bleA2,-59,bleA4,-66,bleA5,-65,,,A,903.471,-145.241,-307.928,G,210,-1050,-1470,M,-259.5,502.5,144,
25:30.8,bleT2,-,-,-,0,5,bleA3,-71,bleA2,-54,bleA4,-69,bleA6,-76,bleA5,-61,A,909.266,-137.677,-317.017,G,560,-2380,-3150,M,-256.5,499.5,141,
25:30.9,bleT2,-,-,-,0,5,bleA3,-57,bleA4,-67,bleA6,-79,bleA5,-64,bleA2,-59,A,907.253,-143.411,-317.444,G,1190,-1400,-1890,M,-264,492,141,
25:31.0,bleT2,-,-,-,0,5,bleA2,-53,bleA4,-70,bleA5,-60,bleA6,-77,bleA3,-59,A,908.107,-145.485,-311.649,G,770,-1190,-2100,M,-244.5,495,148.5,
25:31.1,bleT2,-,-,-,0,5,bleA3,-56,bleA2,-59,bleA5,-66,bleA6,-72,bleA4,-66,A,902.617,-161.284,-330.376,G,490,-2870,-4060,M,-259.5,490.5,153,
25:31.2,bleT2,-,-,-,0,5,bleA5,-61,bleA3,-68,bleA2,-55,bleA4,-72,bleA6,-76,A,898.774,-160.186,-338.916,G,910,-1610,-3500,M,-249,475.5,153,
25:31.3,bleT2,-,-,-,0,5,bleA3,-56,bleA2,-59,bleA5,-73,bleA4,-71,bleA6,-72,A,900.604,-153.11,-344.711,G,-770,-1330,-2030,M,-252,483,153,
25:31.4,bleT2,-,-,-,0,5,bleA5,-65,bleA3,-67,bleA2,-54,bleA4,-72,bleA6,-73,A,902.495,-132.553,-335.744,G,-280,560,-350,M,-252,492,154.5,
25:31.5,bleT2,-,-,-,0,5,bleA3,-59,bleA4,-64,bleA5,-65,bleA6,-73,bleA2,-56,A,919.697,-132.553,-324.459,G,-1610,-420,-1400,M,-246,480,151.5,
25:31.6,bleT2,-,-,-,0,5,bleA5,-61,bleA3,-65,bleA2,-54,bleA4,-69,bleA6,-78,A,916.952,-145.302,-324.032,G,-1120,1190,420,M,-244.5,486,144,
25:31.7,bleT2,-,-,-,0,5,bleA4,-62,bleA6,-72,bleA3,-60,bleA2,-55,bleA5,-61,A,908.29,-141.276,-316.346,G,-3710,-70,2170,M,-247.5,486,153,
25:31.8,bleT2,-,-,-,0,5,bleA2,-53,bleA4,-66,bleA6,-79,bleA5,-59,bleA3,-60,A,866.017,-111.752,-282.674,G,-5810,-980,4130,M,-253.5,495,141,
25:31.9,bleT2,-,-,-,0,4,bleA4,-66,bleA6,-75,bleA3,-57,bleA2,-56,,,A,962.031,-160.674,-228.262,G,-6930,-17220,-9870,M,-253.5,487.5,153,
25:32.0,bleT2,-,-,-,0,4,bleA5,-58,bleA3,-73,bleA2,-56,bleA4,-69,,,A,921.71,-133.468,-332.206,G,-10080,3640,-29400,M,-229.5,472.5,165,
25:32.2,bleT2,-,-,-,0,5,bleA4,-59,bleA6,-67,bleA5,-57,bleA3,-58,bleA2,-62,A,937.021,-94.733,-229.665,G,7000,2870,-4410,M,-226.5,471,160.5,
25:32.3,bleT2,-,-,-,0,5,bleA5,-58,bleA6,-76,bleA2,-55,bleA3,-65,bleA4,-67,A,978.44,-105.713,-273.951,G,7980,1960,-7280,M,-229.5,471,157.5,
25:32.4,bleT2,-,-,-,0,5,bleA3,-64,bleA2,-60,bleA5,-62,bleA4,-60,bleA6,-71,A,1040.599,-172.264,-320.433,G,35910,12110,10920,M,-244.5,471,169.5,
25:32.5,bleT2,-,-,-,0,5,bleA5,-68,bleA6,-67,bleA3,-65,bleA2,-53,bleA4,-74,A,1004.182,-87.413,-395.89,G,42070,-12670,-770,M,-259.5,469.5,163.5,
25:32.6,bleT2,-,-,-,0,4,bleA2,-54,bleA4,-60,bleA6,-75,bleA5,-63,,,A,842.837,-6.283,-303.719,G,34090,7840,5250,M,-283.5,471,180,
25:32.7,bleT2,-,-,-,0,5,bleA2,-56,bleA4,-75,bleA6,-72,bleA5,-68,bleA3,-62,A,873.947,-146.766,-403.576,G,16520,4690,3080,M,-301.5,471,160.5,
25:32.8,bleT2,-,-,-,0,5,bleA3,-65,bleA2,-57,bleA5,-67,bleA4,-61,bleA6,-70,A,1024.556,-218.075,-323.544,G,-8260,-3360,-14770,M,-297,466.5,169.5,
25:32.9,bleT2,-,-,-,0,5,bleA2,-55,bleA4,-66,bleA6,-71,bleA5,-79,bleA3,-61,A,881.633,-178.059,-216.916,G,-24780,8050,-2590,M,-279,472.5,153,
25:33.0,bleT2,-,-,-,0,5,bleA4,-58,bleA6,-70,bleA3,-59,bleA2,-59,bleA5,-71,A,920.002,-197.579,-200.69,G,-44520,5740,2100,M,-270,474,165,
25:33.1,bleT2,-,-,-,0,5,bleA5,-57,bleA3,-60,bleA2,-60,bleA4,-65,bleA6,-71,A,961.299,-145.302,-279.319,G,-51800,8260,20580,M,-264,478.5,153,
25:33.2,bleT2,-,-,-,0,3,bleA4,-81,bleA6,-72,bleA2,-65,,,,,A,1017.419,-196.542,-243.512,G,-59430,19530,24850,M,-249,492,118.5,
25:33.3,bleT2,-,-,-,0,5,bleA6,-68,bleA5,-65,bleA3,-63,bleA2,-63,bleA4,-71,A,1018.944,-39.65,-436.089,G,-76020,-10710,22050,M,-235.5,489,114,
25:33.4,bleT2,-,-,-,0,5,bleA3,-56,bleA4,-64,bleA5,-66,bleA6,-72,bleA2,-69,A,895.419,89.792,-339.221,G,-71890,7700,28070,M,-220.5,502.5,88.5,
25:33.5,bleT2,-,-,-,0,5,bleA5,-58,bleA3,-61,bleA2,-61,bleA4,-62,bleA6,-71,A,934.947,57.95,-206.668,G,-78820,9030,19180,M,-217.5,510,67.5,
25:33.6,bleT2,-,-,-,0,5,bleA6,-68,bleA4,-66,bleA3,-63,bleA2,-65,bleA5,-63,A,904.325,-12.2,-206.363,G,-76650,4410,3150,M,-205.5,516,46.5,
25:33.7,bleT2,-,-,-,0,5,bleA5,-63,bleA3,-58,bleA2,-74,bleA4,-78,bleA6,-74,A,967.094,-33.001,-270.596,G,-77420,-1330,28630,M,-196.5,517.5,33,
25:33.8,bleT2,-,-,-,0,5,bleA4,-67,bleA5,-65,bleA6,-66,bleA3,-57,bleA2,-68,A,940.437,-68.869,-221.613,G,-58310,5320,35630,M,-204,526.5,6,
25:33.9,bleT2,-,-,-,0,5,bleA3,-65,bleA2,-71,bleA4,-64,bleA5,-64,bleA6,-74,A,920.368,-120.902,-321.104,G,-35280,-980,25550,M,-213,541.5,1.5,
25:34.0,bleT2,-,-,-,0,5,bleA4,-69,bleA6,-72,bleA5,-60,bleA3,-63,bleA2,-73,A,1054.385,-228.384,-344.406,G,-30800,-27510,18270,M,-229.5,541.5,-4.5,
25:34.1,bleT2,-,-,-,0,4,bleA3,-63,bleA2,-68,bleA4,-65,bleA6,-75,,,A,852.78,32.94,-440.237,G,-22330,-10290,12110,M,-234,540,9,
25:34.2,bleT2,-,-,-,0,5,bleA4,-65,bleA5,-63,bleA6,-70,bleA3,-67,bleA2,-64,A,908.168,-67.832,-427.488,G,-33600,41090,19740,M,-250.5,547.5,-12,
25:34.4,bleT2,-,-,-,0,4,bleA5,-63,bleA3,-66,bleA4,-81,bleA6,-75,,,A,863.089,-116.571,-343.003,G,-39200,-4270,4900,M,-246,544.5,-25.5,
25:34.5,bleT2,-,-,-,0,5,bleA4,-65,bleA5,-62,bleA6,-71,bleA3,-56,bleA2,-67,A,867.359,-129.381,-367.525,G,-55930,-280,20790,M,-243,552,-24,
25:34.6,bleT2,-,-,-,0,4,bleA5,-61,bleA6,-66,bleA3,-54,bleA2,-74,,,A,852.658,-249.429,-248.88,G,-47530,6160,6580,M,-261,553.5,-36,
25:34.7,bleT2,-,-,-,0,5,bleA3,-81,bleA4,-64,bleA5,-61,bleA6,-77,bleA2,-59,A,955.809,-167.872,-481.473,G,-35070,17290,13650,M,-262.5,571.5,-48,
25:34.8,bleT2,-,-,-,0,5,bleA5,-65,bleA3,-67,bleA2,-60,bleA4,-76,bleA6,-64,A,1135.393,-283.162,-178.12,G,-28420,26950,14490,M,-267,577.5,-69,
25:34.9,bleT2,-,-,-,0,5,bleA3,-61,bleA2,-57,bleA4,-62,bleA6,-76,bleA5,-75,A,959.53,14.457,-512.949,G,-40810,-15890,25340,M,-289.5,591,-76.5,
25:35.0,bleT2,-,-,-,0,2,bleA5,-79,bleA2,-52,,,,,,,A,833.077,30.012,-109.19,G,-24010,64470,33110,M,-310.5,583.5,-118.5,
25:35.0,bleT2,-,-,-,0,3,bleA3,-61,bleA4,-77,bleA6,-65,,,,,A,799.588,-165.676,-344.65,G,-32760,-19460,-4200,M,-327,585,-103.5,
25:35.1,bleT2,-,-,-,0,4,bleA2,-55,bleA4,-65,bleA6,-63,bleA5,-65,,,A,846.314,-123.525,-298.534,G,-7350,13090,-630,M,-325.5,594,-109.5,
25:35.2,bleT2,-,-,-,0,5,bleA2,-55,bleA4,-70,bleA6,-64,bleA5,-67,bleA3,-68,A,869.677,-168.238,-223.443,G,10500,-2940,-3430,M,-313.5,589.5,-102,
25:35.3,bleT2,-,-,-,0,5,bleA4,-69,bleA6,-63,bleA3,-63,bleA2,-59,bleA5,-69,A,1002.901,-178.303,-325.618,G,26180,-10640,-13090,M,-321,598.5,-115.5,
25:35.4,bleT2,-,-,-,0,5,bleA2,-60,bleA4,-62,bleA6,-76,bleA5,-66,bleA3,-64,A,1032.608,-286.639,-299.083,G,35840,-15750,-4340,M,-309,586.5,-108,
25:35.5,bleT2,-,-,-,0,5,bleA4,-69,bleA6,-62,bleA5,-61,bleA3,-65,bleA2,-66,A,976,-43.981,-533.384,G,42700,-43120,-9520,M,-306,582,-79.5,
25:35.6,bleT2,-,-,-,0,4,bleA3,-63,bleA2,-75,bleA4,-66,bleA6,-65,,,A,852.414,-87.779,-464.942,G,36680,19740,-11060,M,-291,586.5,-76.5,
25:35.7,bleT2,-,-,-,0,4,bleA4,-69,bleA5,-64,bleA3,-61,bleA2,-68,,,A,837.53,-189.283,-330.132,G,11760,-25550,-23800,M,-282,591,-67.5,
25:35.8,bleT2,-,-,-,0,5,bleA3,-62,bleA2,-72,bleA4,-66,bleA5,-63,bleA6,-71,A,877.302,-83.326,-100.223,G,-980,-7770,-4130,M,-268.5,591,-69,
25:35.9,bleT2,-,-,-,0,5,bleA4,-61,bleA5,-66,bleA6,-60,bleA3,-69,bleA2,-72,A,889.38,-188.246,-265.167,G,-27440,-1680,3570,M,-273,591,-76.5,
25:36.0,bleT2,-,-,-,0,5,bleA2,-65,bleA4,-62,bleA6,-70,bleA5,-70,bleA3,-75,A,937.082,-185.562,-316.895,G,-35910,9590,12600,M,-274.5,585,-87,
25:36.1,bleT2,-,-,-,0,5,bleA4,-69,bleA6,-65,bleA3,-70,bleA2,-64,bleA5,-71,A,1031.632,-224.663,-228.628,G,-39200,40810,17920,M,-291,598.5,-112.5,
25:36.2,bleT2,-,-,-,0,4,bleA5,-63,bleA3,-73,bleA2,-60,bleA4,-65,,,A,1011.563,-70.882,-539.911,G,-48020,-20440,9800,M,-289.5,594,-117,
25:36.4,bleT2,-,-,-,0,5,bleA3,-69,bleA2,-63,bleA4,-66,bleA5,-55,bleA6,-63,A,888.526,62.159,-312.808,G,-33040,40880,30170,M,-322.5,600,-135,
25:36.5,bleT2,-,-,-,0,1,bleA4,-63,,,,,,,,,A,834.907,-109.434,-366,G,-31710,-13720,7210,M,-348,597,-144,
25:36.6,bleT2,-,-,-,0,4,bleA4,-62,bleA3,-65,bleA2,-60,bleA5,-57,,,A,824.781,-175.924,-215.818,G,-4410,9660,-6440,M,-340.5,589.5,-147,
25:36.7,bleT2,-,-,-,0,5,bleA5,-62,bleA3,-71,bleA2,-59,bleA4,-65,bleA6,-74,A,894.626,-116.998,-323.666,G,14490,-4690,-7910,M,-348,598.5,-141,
25:36.8,bleT2,-,-,-,0,5,bleA3,-72,bleA2,-67,bleA4,-57,bleA5,-66,bleA6,-63,A,951.966,-78.324,-334.768,G,35980,-17360,-21910,M,-316.5,592.5,-148.5,
25:36.9,bleT2,-,-,-,0,4,bleA5,-53,bleA3,-73,bleA4,-63,bleA6,-78,,,A,948.733,-134.322,-268.461,G,36050,-13720,-17150,M,-303,598.5,-129,
25:37.0,bleT2,-,-,-,0,5,bleA4,-73,bleA5,-75,bleA6,-65,bleA3,-70,bleA2,-75,A,932.69,-117.303,-285.602,G,53270,-14700,-10920,M,-288,591,-108,
25:37.1,bleT2,-,-,-,0,5,bleA5,-56,bleA6,-63,bleA3,-72,bleA2,-65,bleA4,-58,A,1004.792,-83.021,-212.89,G,74200,11900,-11480,M,-268.5,591,-99,
25:37.2,bleT2,-,-,-,0,5,bleA4,-64,bleA5,-60,bleA6,-73,bleA3,-61,bleA2,-82,A,944.707,-79.422,-432.978,G,37800,-31570,-20230,M,-268.5,603,-72,
25:37.3,bleT2,-,-,-,0,4,bleA3,-65,bleA2,-78,bleA4,-60,bleA6,-71,,,A,904.874,-146.644,-366.61,G,26530,4690,21980,M,-264,592.5,-81,
25:37.4,bleT2,-,-,-,0,1,bleA2,-67,,,,,,,,,A,897.188,-162.138,-361.547,G,-1330,-10710,-13020,M,-267,595.5,-85.5,
25:37.5,bleT2,-,-,-,0,4,bleA5,-65,bleA3,-63,bleA2,-73,bleA4,-58,,,A,882.548,-123.952,-213.378,G,-20930,-8960,-1120,M,-261,600,-78,
25:37.6,bleT2,-,-,-,0,5,bleA4,-60,bleA6,-65,bleA3,-76,bleA2,-78,bleA5,-58,A,939.4,-173.179,-425.475,G,-29750,560,10430,M,-274.5,592.5,-72,
25:37.7,bleT2,-,-,-,0,1,bleA5,-66,,,,,,,,,A,876.265,-151.402,-370.331,G,-30450,17990,14070,M,-277.5,591,-79.5,
25:37.7,bleT2,-,-,-,0,4,bleA3,-68,bleA2,-65,bleA4,-60,bleA6,-73,,,A,898.103,-201.422,-313.54,G,-25690,13580,9940,M,-298.5,592.5,-96,
25:37.8,bleT2,-,-,-,0,5,bleA3,-78,bleA2,-81,bleA4,-65,bleA5,-56,bleA6,-67,A,926.041,-187.88,-467.321,G,-23730,6090,18900,M,-303,594,-112.5,
25:37.9,bleT2,-,-,-,0,5,bleA2,-63,bleA4,-62,bleA6,-85,bleA5,-63,bleA3,-70,A,853.207,-213.805,-319.823,G,-9240,27580,15680,M,-324,604.5,-117,
25:38.0,bleT2,-,-,-,0,5,bleA3,-72,bleA4,-61,bleA5,-58,bleA6,-72,bleA2,-71,A,898.591,-189.832,-350.445,G,-840,-6860,-3220,M,-333,607.5,-117,
25:38.1,bleT2,-,-,-,0,5,bleA5,-60,bleA3,-70,bleA2,-73,bleA4,-61,bleA6,-71,A,937.387,-176.412,-225.944,G,9520,1680,-6020,M,-321,594,-118.5,
25:38.2,bleT2,-,-,-,0,4,bleA4,-60,bleA6,-65,bleA5,-65,bleA2,-66,,,A,958.554,-173.24,-310.673,G,3150,-3290,-4200,M,-316.5,595.5,-108,
25:38.3,bleT2,-,-,-,0,3,bleA4,-60,bleA5,-65,bleA6,-67,,,,,A,939.461,-170.068,-277.794,G,3150,6300,2240,M,-318,598.5,-108,
25:38.4,bleT2,-,-,-,0,5,bleA3,-70,bleA4,-60,bleA5,-64,bleA6,-83,bleA2,-67,A,923.418,-180.499,-264.13,G,1610,10640,490,M,-318,595.5,-120,
25:38.6,bleT2,-,-,-,0,5,bleA5,-68,bleA3,-66,bleA2,-65,bleA4,-60,bleA6,-66,A,927.017,-193.187,-280.722,G,1610,1190,-490,M,-328.5,597,-121.5,
25:38.7,bleT2,-,-,-,0,5,bleA4,-60,bleA6,-66,bleA3,-70,bleA2,-67,bleA5,-64,A,935.13,-195.383,-263.764,G,140,-630,-700,M,-318,600,-136.5,
25:38.8,bleT2,-,-,-,0,5,bleA5,-69,bleA3,-66,bleA2,-66,bleA4,-61,bleA6,-66,A,926.346,-193.309,-268.095,G,-280,-1470,-1120,M,-309,598.5,-127.5,
25:38.9,bleT2,-,-,-,0,5,bleA4,-60,bleA6,-65,bleA5,-64,bleA3,-70,bleA2,-67,A,927.688,-202.825,-278.404,G,-1190,-1540,-2170,M,-318,598.5,-129,
25:39.0,bleT2,-,-,-,0,4,bleA5,-69,bleA3,-66,bleA2,-65,bleA4,-61,,,A,933.544,-205.936,-270.718,G,0,140,-1190,M,-316.5,607.5,-126,
25:39.1,bleT2,-,-,-,0,5,bleA4,-60,bleA6,-65,bleA3,-71,bleA2,-67,bleA5,-66,A,928.542,-198.86,-263.52,G,-280,490,-1190,M,-315,600,-126,
25:39.2,bleT2,-,-,-,0,5,bleA3,-70,bleA2,-69,bleA4,-62,bleA6,-66,bleA5,-69,A,925.126,-202.642,-260.043,G,840,1470,-560,M,-309,601.5,-126,
25:39.3,bleT2,-,-,-,0,5,bleA4,-59,bleA6,-64,bleA3,-71,bleA2,-67,bleA5,-65,A,914.878,-208.193,-252.845,G,840,3500,-1470,M,-313.5,597,-112.5,
25:39.4,bleT2,-,-,-,0,5,bleA5,-70,bleA3,-67,bleA2,-71,bleA4,-63,bleA6,-66,A,926.407,-202.032,-253.394,G,70,-630,-840,M,-322.5,606,-120,
25:39.5,bleT2,-,-,-,0,5,bleA3,-71,bleA2,-67,bleA5,-64,bleA4,-59,bleA6,-65,A,929.335,-198.189,-246.135,G,-1400,-1190,-1330,M,-313.5,607.5,-130.5,
25:39.6,bleT2,-,-,-,0,5,bleA3,-66,bleA2,-73,bleA4,-64,bleA5,-68,bleA6,-66,A,934.642,-205.57,-258.457,G,-1400,-210,140,M,-316.5,597,-130.5,
25:39.7,bleT2,-,-,-,0,4,bleA4,-60,bleA5,-63,bleA6,-76,bleA2,-67,,,A,926.041,-203.679,-242.536,G,-2170,-560,490,M,-321,604.5,-123,
25:39.8,bleT2,-,-,-,0,5,bleA3,-66,bleA2,-76,bleA4,-65,bleA5,-66,bleA6,-66,A,923.418,-197.213,-244.793,G,-2310,490,-840,M,-325.5,594,-130.5,
25:39.9,bleT2,-,-,-,0,5,bleA4,-60,bleA6,-64,bleA3,-73,bleA2,-67,bleA5,-65,A,924.272,-204.838,-252.296,G,-2870,-770,-1120,M,-312,604.5,-118.5,
25:40.0,bleT2,-,-,-,0,5,bleA2,-64,bleA4,-65,bleA6,-67,bleA5,-64,bleA3,-66,A,919.331,-199.531,-243.573,G,-2450,-70,-140,M,-312,597,-124.5,
25:40.1,bleT2,-,-,-,0,5,bleA3,-75,bleA4,-60,bleA5,-65,bleA6,-72,bleA2,-67,A,902.007,-204.899,-246.074,G,-1330,140,1400,M,-316.5,604.5,-123,
25:40.2,bleT2,-,-,-,0,5,bleA2,-64,bleA4,-65,bleA5,-63,bleA6,-68,bleA3,-66,A,915.854,-202.093,-246.562,G,-700,0,280,M,-315,597,-129,
25:40.3,bleT2,-,-,-,0,5,bleA3,-75,bleA4,-59,bleA5,-66,bleA6,-72,bleA2,-67,A,910.852,-205.57,-245.281,G,-1050,-1470,-2520,M,-309,600,-136.5,
25:40.4,bleT2,-,-,-,0,5,bleA3,-67,bleA2,-71,bleA4,-65,bleA5,-63,bleA6,-69,A,920.917,-202.337,-254.309,G,-420,770,-350,M,-322.5,609,-129,
25:40.5,bleT2,-,-,-,0,5,bleA3,-76,bleA4,-59,bleA5,-68,bleA6,-71,bleA2,-67,A,907.375,-207.156,-254.065,G,-490,2030,-140,M,-325.5,603,-118.5,
25:40.7,bleT2,-,-,-,0,5,bleA5,-62,bleA3,-68,bleA2,-69,bleA6,-70,bleA4,-65,A,910.242,-200.751,-249.185,G,210,-70,-1050,M,-310.5,594,-115.5,
25:40.8,bleT2,-,-,-,0,5,bleA3,-76,bleA2,-68,bleA4,-60,bleA6,-63,bleA5,-68,A,909.815,-199.653,-251.076,G,840,-70,-1890,M,-313.5,600,-121.5,
25:40.9,bleT2,-,-,-,0,5,bleA2,-65,bleA5,-63,bleA6,-71,bleA3,-67,bleA4,-64,A,922.198,-201.544,-256.444,G,1820,-1470,-2030,M,-324,598.5,-129,
25:41.0,bleT2,-,-,-,0,5,bleA4,-58,bleA5,-68,bleA6,-73,bleA3,-74,bleA2,-69,A,891.393,-197.945,-291.763,G,6370,-3150,-2310,M,-318,594,-124.5,
25:41.1,bleT2,-,-,-,0,5,bleA3,-68,bleA2,-71,bleA4,-61,bleA6,-70,bleA5,-67,A,886.269,-227.286,-317.2,G,19530,-2940,-10080,M,-307.5,595.5,-121.5,
25:41.2,bleT2,-,-,-,0,5,bleA3,-67,bleA2,-72,bleA5,-59,bleA4,-58,bleA6,-62,A,857.172,-202.459,-347.578,G,47950,-12460,-19950,M,-288,601.5,-106.5,
25:41.3,bleT2,-,-,-,0,5,bleA5,-64,bleA3,-69,bleA2,-66,bleA4,-58,bleA6,-69,A,867.298,-225.273,-311.954,G,67620,-17360,-25060,M,-277.5,598.5,-93,
25:41.4,bleT2,-,-,-,0,5,bleA3,-73,bleA2,-66,bleA4,-68,bleA5,-59,bleA6,-71,A,922.32,-246.013,-347.883,G,75740,-40810,-36050,M,-253.5,589.5,-61.5,
25:41.5,bleT2,-,-,-,0,2,bleA4,-70,bleA6,-67,,,,,,,A,922.991,-164.273,-396.5,G,75810,-33320,-41230,M,-211.5,576,-6,
25:41.6,bleT2,-,-,-,0,5,bleA3,-63,bleA4,-62,bleA6,-67,bleA5,-72,bleA2,-86,A,953.125,-166.225,-366.244,G,73010,-9310,-34370,M,-207,576,21,
25:41.7,bleT2,-,-,-,0,5,bleA3,-67,bleA2,-68,bleA4,-64,bleA5,-64,bleA6,-63,A,920.917,-163.663,-308.904,G,54740,0,-24920,M,-208.5,553.5,42,
25:41.8,bleT2,-,-,-,0,4,bleA4,-59,bleA3,-64,bleA2,-70,bleA5,-58,,,A,903.532,-232.776,-314.943,G,36400,13370,-7980,M,-207,552,36,
25:41.9,bleT2,-,-,-,0,5,bleA2,-66,bleA4,-61,bleA6,-67,bleA5,-60,bleA3,-60,A,965.752,-233.142,-389.424,G,26740,15960,4830,M,-210,559.5,37.5,
25:42.0,bleT2,-,-,-,0,5,bleA3,-62,bleA2,-72,bleA4,-59,bleA5,-58,bleA6,-61,A,844.85,-179.34,-399.672,G,38920,-2870,-7770,M,-211.5,567,52.5,
25:42.1,bleT2,-,-,-,0,5,bleA2,-68,bleA4,-60,bleA5,-57,bleA6,-65,bleA3,-67,A,932.385,-100.894,-347.456,G,60340,-11060,-1050,M,-214.5,567,69,
25:42.2,bleT2,-,-,-,0,5,bleA4,-63,bleA6,-65,bleA3,-63,bleA2,-66,bleA5,-54,A,892.796,-93.025,-229.726,G,53060,-21560,-33320,M,-216,550.5,93,
25:42.3,bleT2,-,-,-,0,5,bleA2,-70,bleA4,-70,bleA5,-56,bleA6,-73,bleA3,-67,A,917.806,-77.043,-258.091,G,49070,-16800,-24990,M,-210,549,108,
25:42.4,bleT2,-,-,-,0,5,bleA4,-72,bleA6,-78,bleA3,-70,bleA2,-71,bleA5,-60,A,911.828,-137.799,-272.243,G,46970,-9870,-29050,M,-223.5,531,132,
25:42.5,bleT2,-,-,-,0,5,bleA5,-56,bleA3,-60,bleA2,-70,bleA4,-73,bleA6,-65,A,937.021,-124.989,-287.066,G,53690,-28070,-28280,M,-234,523.5,166.5,
25:42.7,bleT2,-,-,-,0,4,bleA3,-77,bleA2,-73,bleA5,-50,bleA6,-67,,,A,990.579,-132.553,-267.241,G,50820,-13370,-16170,M,-234,511.5,181.5,
25:42.8,bleT2,-,-,-,0,5,bleA5,-50,bleA6,-72,bleA3,-70,bleA2,-65,bleA4,-65,A,1014.613,-200.446,-272.67,G,45500,-12180,-7140,M,-247.5,499.5,187.5,
25:42.9,bleT2,-,-,-,0,5,bleA3,-69,bleA4,-70,bleA5,-53,bleA6,-63,bleA2,-66,A,1020.53,-184.769,-387.167,G,47810,-8330,6720,M,-282,486,223.5,
25:43.0,bleT2,-,-,-,0,5,bleA3,-63,bleA2,-70,bleA4,-66,bleA6,-65,bleA5,-53,A,796.355,-89.67,-531.859,G,47040,-10500,8470,M,-316.5,484.5,223.5,
25:43.1,bleT2,-,-,-,0,5,bleA3,-60,bleA4,-63,bleA5,-55,bleA6,-61,bleA2,-66,A,796.721,-202.337,-324.398,G,29680,11900,420,M,-340.5,504,223.5,
25:43.2,bleT2,-,-,-,0,5,bleA5,-55,bleA3,-59,bleA2,-62,bleA4,-71,bleA6,-62,A,920.124,-224.907,-377.285,G,-29050,-19880,9520,M,-331.5,481.5,241.5,
25:43.3,bleT2,-,-,-,0,5,bleA4,-67,bleA5,-52,bleA6,-64,bleA3,-69,bleA2,-69,A,852.78,-204.228,-355.63,G,-31850,15120,12320,M,-307.5,477,235.5,
25:43.4,bleT2,-,-,-,0,5,bleA3,-62,bleA2,-73,bleA4,-73,bleA5,-53,bleA6,-63,A,850.95,-232.105,-373.686,G,-38290,13370,3080,M,-304.5,489,228,
25:43.5,bleT2,-,-,-,0,5,bleA4,-67,bleA5,-50,bleA6,-73,bleA3,-60,bleA2,-66,A,882.548,-241.987,-259.25,G,-38290,32900,4620,M,-274.5,498,211.5,
