timestamp,tagID,pos_x,pos_y,pos_z,quality,n_dist,anchorID_1,dist_1,anchorID_2,dist_2,anchorID_3,dist_3,anchorID_4,dist_4,anchorID_5,dist_5,accelerometro,ax,ay,az,giroscopio,gx,gy,gz,magnetometro,mx,my,mz
25:06.5,bleT2,-,-,-,0,4,bleA6,-66,bleA3,-48,bleA2,-66,bleA5,-74,,,A,811.3,-95.831,-484.157,G,-80850,10500,29120,M,-150,454.5,153,
25:06.6,bleT2,-,-,-,0,5,bleA2,-69,bleA4,-66,bleA5,-64,bleA6,-67,bleA3,-47,A,858.758,-59.231,-402.417,G,-77980,-2100,35770,M,-144,481.5,120,
25:06.7,bleT2,-,-,-,0,5,bleA4,-60,bleA6,-69,bleA5,-68,bleA3,-49,bleA2,-64,A,877.241,-82.472,-420.351,G,-89250,-70,26250,M,-132,475.5,97.5,
25:06.8,bleT2,-,-,-,0,4,bleA5,-61,bleA3,-55,bleA2,-55,bleA4,-68,,,A,889.075,-81.923,-530.151,G,-93870,-7490,41440,M,-118.5,493.5,85.5,
25:07.0,bleT2,-,-,-,0,5,bleA3,-49,bleA2,-65,bleA4,-69,bleA5,-65,bleA6,-73,A,897.127,50.691,-542.839,G,-87920,-7980,63560,M,-124.5,505.5,37.5,
25:07.1,bleT2,-,-,-,0,5,bleA5,-66,bleA3,-56,bleA2,-60,bleA4,-71,bleA6,-69,A,812.642,66.246,-464.515,G,-79380,7420,57470,M,-159,538.5,19.5,
25:07.2,bleT2,-,-,-,0,5,bleA4,-70,bleA6,-66,bleA5,-71,bleA3,-68,bleA2,-62,A,836.493,26.169,-425.475,G,-71330,4970,31920,M,-181.5,553.5,-12,
25:07.3,bleT2,-,-,-,0,4,bleA3,-61,bleA2,-54,bleA4,-78,bleA5,-61,,,A,878.705,3.355,-396.805,G,-80430,22750,-3780,M,-163.5,556.5,-42,
25:07.4,bleT2,-,-,-,0,5,bleA4,-64,bleA5,-64,bleA6,-71,bleA3,-64,bleA2,-62,A,949.526,28.731,-360.571,G,-67410,-17430,1610,M,-163.5,555,-63,
25:07.5,bleT2,-,-,-,0,5,bleA2,-55,bleA4,-72,bleA5,-64,bleA6,-79,bleA3,-54,A,947.696,22.936,-436.15,G,-47810,2660,6020,M,-157.5,571.5,-81,
25:07.6,bleT2,-,-,-,0,4,bleA3,-66,bleA2,-71,bleA5,-67,bleA4,-71,,,A,912.072,-27.45,-309.331,G,-22540,13790,24220,M,-168,562.5,-96,
25:07.7,bleT2,-,-,-,0,4,bleA3,-56,bleA2,-61,bleA4,-71,bleA5,-66,,,A,924.028,-58.804,-302.011,G,8050,5460,18760,M,-190.5,564,-97.5,
25:07.8,bleT2,-,-,-,0,5,bleA4,-76,bleA5,-65,bleA6,-68,bleA3,-59,bleA2,-55,A,908.412,-48.251,-297.497,G,22120,8400,8890,M,-204,574.5,-81,
